Number,Oversampling,Repetitions,Day,Time
1,16,4,20,15:21
2,16,4,20,15:01
3,16,4,20,16:35
4,16,4,21,9:09
5,16,4,20,16:43
6,16,4,20,16:47
7,16,4,20,16:51
8,16,4,20,16:56
9,16,4,20,17:03
10,16,4,20,17:06
11,16,4,20,17:10
12,16,4,20,17:13
13,16,4,20,17:17
14,1,4,22,12:27
14,8,4,22,12:25
14,16,4,22,12:24
14,16,1,22,11:56
14,16,2,22,12:02
14,16,4,22,12:07
15,1,4,22,12:41
15,8,4,22,12:44
15,16,4,22,12:48
15,16,1,22,12:52
15,16,2,22,12:50
15,16,4,22,15:04
15,16,4,22,12:56
16,1,4,22,13:33
16,8,4,22,13:29
16,16,4,22,13:24
16,16,1,22,13:17
16,16,1,22,13:20
16,16,2,22,13:14
16,16,2,22,13:12
16,16,4,22,15:01
17,1,4,22,15:12
17,8,4,22,15:14
17,16,4,22,15:17
17,16,1,22,15:20
17,16,2,22,15:19
17,16,4,22,15:22
17,16,8,22,15:25
